code,iso,country,year,ACCESS,ACSAT,AGSUB,AZE,CHMORT,CLIMATE,CO2GDPd1,CO2GDPd2,CO2KWH,FORCH,FSOC,HAP,MPAEEZ,PACOVD,PACOVW,PM25,PM25EXBL,POPS,TCEEZ,WASTECXN,WATSUP,EH_AirQuality,EH_HealthImpacts,EH_WaterSanitation,EV_Agriculture,EV_BiodiversityHabitat,EV_ClimateEnergy,EV_Fisheries,EV_Forests,EV_WaterResources,EH,EV,EPI
4,AFG,Afghanistan,2005,39,3.15,100,0,26.96,NA,NA,NA,NA,52.35,NA,12,NA,1.65,3.35,96.38,78.78,0,NA,0,1.25,62.39,26.96,2.2,50,1.88,-911,-911,52.35,0,30.52,12.62,19.78
8,ALB,Albania,2005,100,46.36,100,NA,78.5,85.74,86.45,78.69,99.4,17.25,0,55.5,73.71,53.24,51.11,82,61.87,20,0,3.36,61.65,66.46,78.5,54.01,60,59.35,85.74,0,17.25,3.36,66.32,41.84,51.63
12,DZA,Algeria,2005,98.5,56.49,100,NA,61.69,37.53,26.2,28.62,55.48,26.24,23.08,97.5,48.04,37.12,19.43,100,92.45,80,33.47,34.64,34.94,96.65,61.69,45.71,90,34.86,37.53,28.27,26.24,34.64,68.02,36.71,49.23
24,AGO,Angola,2005,33,11.86,100,0,11.48,NA,NA,NA,NA,26.24,25.31,30.5,38.89,65.54,62.37,100,97.12,0,27.43,0,5.17,75.87,11.48,8.52,50,41.7,-911,26.37,26.24,0,31.96,24.25,27.33
28,ATG,Antigua and Barbuda,2005,86.5,45.23,NA,100,79.76,8.41,13.11,0,NA,NA,0,97.5,45.05,38,60.64,100,100,84,0,11.37,72.24,99.17,79.76,58.74,84,60.92,8.41,0,-911,11.37,79.22,27.08,47.94
32,ARG,Argentina,2005,86.5,55.87,100,50,81.88,16.79,13.6,22.06,11.47,0,15.81,97,64.53,29.1,35.9,100,100,92,16.57,11.75,72.82,99,81.88,64.35,96,44.88,16.79,16.19,0,11.75,81.74,24.77,47.56
51,ARM,Armenia,2005,99,45.4,100,100,78.65,39.91,72.39,13.68,89.95,74.82,NA,65.5,NA,73.14,73.94,78.26,50,84,NA,22.59,59.21,64.59,78.65,52.31,92,80.16,39.91,-911,74.82,22.59,65.18,53.05,57.9
36,AUS,Australia,2005,100,100,68.94,86,97.34,47.67,44.55,31.12,53.98,100,25.36,95,95.94,60.88,64.11,100,100,76,12.02,92.33,100,98.33,97.34,100,72.47,76.73,47.67,18.69,100,92.33,98.56,69.68,81.23
40,AUT,Austria,2005,100,100,16.87,NA,98.8,62.09,54.7,51.19,76.91,19.87,NA,95,NA,86.59,93.99,66.81,38.85,92,NA,79.05,100,66.88,98.8,100,54.43,86.59,62.09,-911,19.87,79.05,88.56,68.49,76.52
31,AZE,Azerbaijan,2005,98,26.67,100,NA,61.15,80.88,90,78.28,83.55,63.12,NA,82.5,NA,58.66,68.89,98.83,82.01,24,NA,13.15,24.68,87.78,61.15,25.67,62,58.66,80.88,-911,63.12,13.15,58.2,52.87,55
44,BHS,Bahamas,2005,86.5,42.49,NA,NA,66.88,0,0,0,NA,21.31,8,95,65.26,79.55,81.77,100,100,12,67.76,11.37,61.42,98.33,66.88,51.95,12,75.53,0,37.88,21.31,11.37,72.39,28.24,45.9
48,BHR,Bahrain,2005,92.5,86.81,NA,NA,82.04,39.57,32.21,26.74,56.9,NA,0,95,0,7.48,7.48,92.19,64.03,4,0,64.27,100,83.74,82.04,93.4,4,4.99,39.57,0,-911,64.27,86.39,30.45,52.83
50,BGD,Bangladesh,2005,43.5,11.82,100,NA,45.29,NA,NA,NA,NA,22.83,0,10,77.27,10.73,30.43,49.48,18.71,76,0,0,28.4,26.06,45.29,20.11,88,39.48,-911,0,22.83,0,30.49,22.07,25.44
52,BRB,Barbados,2005,86.5,49.79,NA,0,84.18,12.38,11,14.85,NA,NA,3.85,100,8.03,0.54,0.54,100,100,84,100,11.37,96.44,100,84.18,73.12,84,2.28,12.38,51.92,-911,11.37,85.77,17.66,44.9
112,BLR,Belarus,2005,100,53.1,100,NA,83.64,43.15,90,36.27,41.89,68.23,NA,96,NA,41.25,41.25,77.52,52.88,36,NA,86.45,93.68,75.46,83.64,73.39,68,41.25,43.15,-911,68.23,86.45,77.5,58.82,66.29
56,BEL,Belgium,2005,100,100,16.02,NA,96.1,64.47,61.8,35.28,70.09,23.64,0,95,0,86.17,86.17,67.17,33.81,84,0,60,100,65.33,96.1,100,50.01,57.45,64.47,0,23.64,60,87.14,50.34,65.06
84,BLZ,Belize,2005,86.5,39.73,100,NA,76.94,2.59,83.28,0,NA,4.69,0,84.5,96.15,99.65,98.23,100,97.84,76,0,2.28,45.63,94.11,76.94,42.68,88,98.01,2.59,0,4.69,2.28,71.25,30.59,46.85
204,BEN,Benin,2005,26.5,0,80.1,NA,21.63,NA,NA,NA,NA,NA,0,7.5,0,98.86,98.79,100,82.01,68,0,0.01,18.15,63.17,21.63,9.08,74.05,65.88,-911,0,-911,0.01,31.29,31.04,31.14
64,BTN,Bhutan,2005,70,8.55,100,NA,34.22,NA,NA,NA,NA,63.12,NA,51,NA,94.92,96.13,75.68,54.68,0,NA,0,44.91,60.45,34.22,26.73,50,94.92,-911,-911,63.12,0,40.47,50.06,46.22
68,BOL,Bolivia,2005,78.5,8.39,100,43,44.95,63.57,0,90,11.28,11.77,NA,67.5,NA,95.73,91.7,100,98.56,28,NA,11.3,31.02,88.69,44.95,19.7,64,81.04,63.57,-911,11.77,11.3,51.11,48.17,49.35
70,BIH,Bosnia and Herzegovina,2005,99.5,61.36,100,NA,87.06,31.71,34.14,17.86,57.95,100,NA,52.5,NA,2.5,2.5,79.72,56.47,4,NA,3.18,76.83,62.9,87.06,69.09,52,2.5,31.71,-911,100,3.18,73.02,24.39,43.84
72,BWA,Botswana,2005,41.5,15.76,NA,NA,45.52,16.57,61.98,11.37,6.12,NA,NA,56.5,NA,100,100,100,100,20,NA,0.95,60.83,85.5,45.52,38.3,20,100,16.57,-911,-911,0.95,56.44,37.98,45.36
76,BRA,Brazil,2005,98,29.31,40.47,30,64.75,53.82,52.02,26.19,79.65,10.81,37.57,91.5,80.87,80.74,72.1,100,99.28,88,29.87,10.87,58.07,96.93,64.75,43.69,64.23,65.93,53.82,33.72,10.81,10.87,68.45,40.32,51.57
96,BRN,Brunei Darussalam,2005,71,43.46,NA,NA,95.14,21.73,0,16,64.57,36.46,56.76,95,NA,100,100,100,97.48,68,72.62,37.84,100,97.49,95.14,71.73,68,100,21.73,64.69,36.46,37.84,88.12,53.41,67.29
100,BGR,Bulgaria,2005,100,100,42.55,NA,83.27,48.18,90,45.22,39.47,84.12,0,90,6.55,99.86,99.44,70.91,42.09,92,0,28.86,92.1,67.67,83.27,96.05,67.28,68.62,48.18,0,84.12,28.86,82.33,48.19,61.85
854,BFA,Burkina Faso,2005,10,0.08,63.57,NA,9.55,NA,NA,NA,NA,NA,NA,5,NA,83.75,83.75,100,100,76,NA,0.02,17.01,68.33,9.55,8.54,69.78,83.75,-911,-911,-911,0.02,28.81,44.42,38.18
108,BDI,Burundi,2005,4.5,10.92,100,NA,15.59,NA,NA,NA,NA,22.83,NA,3,NA,30.29,30.5,100,89.57,76,NA,0,20.2,64.19,15.59,15.56,88,30.29,-911,-911,22.83,0,31.78,21.93,25.87
116,KHM,Cambodia,2005,24,2.87,100,NA,43.88,NA,NA,NA,NA,0,0,8.5,36.78,100,100,100,92.09,20,0,0,8,66.86,43.88,5.44,60,78.93,-911,0,0,0,38.72,30.31,33.68
120,CMR,Cameroon,2005,47.5,10.9,58.76,62,19.45,62.13,41.76,63.79,58.84,43.06,0,21,0,52.57,62.78,100,92.81,76,0,0,16.68,71.27,19.45,13.79,67.38,44.34,62.13,0,43.06,0,34.84,34.29,34.51
124,CAN,Canada,2005,100,95.94,26.3,50,98.54,59.85,53.78,29.2,72.18,16.64,20.27,95,72.66,47.79,55.36,100,84.17,96,28.47,80.42,95.65,93.06,98.54,95.8,61.15,56.45,59.85,24.37,16.64,80.42,95.8,56.34,72.12
132,CPV,Cape Verde,2005,63,13.34,100,0,68.49,45.04,40.29,45.15,NA,NA,19.54,64.5,0,14.64,14.64,100,100,0,65.5,19.4,34.12,88.17,68.49,23.73,50,7.32,45.04,42.52,-911,19.4,60.13,27.44,40.51
140,CAF,Central African Republic,2005,7.5,4.33,100,NA,11.91,NA,NA,NA,NA,43.06,NA,3,NA,97,97.02,100,91.37,72,NA,0,14.26,64.79,11.91,9.29,86,97,-911,-911,43.06,0,28.66,50.55,41.79
148,TCD,Chad,2005,3,0,78.28,NA,11.92,NA,NA,NA,NA,NA,NA,8,NA,55.34,51.22,100,99.64,72,NA,0,4.45,69.21,11.92,2.22,75.14,55.34,-911,-911,-911,0,27.79,31.99,30.31
152,CHL,Chile,2005,99,60.31,44.62,40,88.49,35.92,53.08,32.93,12.23,100,21.05,90,71.68,59.67,46.09,100,95.32,92,30.57,68.85,64.82,95.11,88.49,62.56,68.31,54.36,35.92,25.81,100,68.85,82.05,55.78,66.29
156,CHN,China,2005,99,14.22,36.35,54,80.12,65.16,39.29,75,51.83,25.34,26.2,50.5,66.24,64.29,80.39,5.51,0,52,9.2,18.18,35.52,18.67,80.12,24.87,44.18,66.23,65.16,17.7,25.34,18.18,41.22,43.9,42.83
170,COL,Colombia,2005,95,27.28,19.89,56,59.26,43.49,64.68,36.3,48.1,26.24,18.27,83.5,99.08,89.05,76.54,100,99.28,84,56.89,4.6,46.51,94.26,59.26,36.89,51.94,80.17,43.49,37.58,26.24,4.6,63.47,41.04,50.01
174,COM,Comoros,2005,46.5,5.89,100,0,30.75,NA,NA,NA,NA,68.23,51.61,25,0,0,0,100,100,8,93.83,3.96,55.32,75,30.75,30.6,54,0,-911,72.72,68.23,3.96,45.45,23.71,32.41
178,COG,Congo,2005,29,1.31,NA,NA,22.22,59.88,55.48,90,0.01,47.23,0,18.5,88.53,55,55.34,96.44,77.7,52,0,0.18,18.91,64.21,22.22,10.11,52,66.29,59.88,0,47.23,0.18,32.18,38.91,36.22
188,CRI,Costa Rica,2005,97,51.96,100,100,87.45,38.46,46.55,34.42,38.81,19.87,23.39,90.5,74.46,94.44,89.28,100,100,72,47.93,0.9,60.01,96.83,87.45,55.98,86,89.55,38.46,35.66,19.87,0.9,80.09,42.08,57.28
384,CIV,Cote d'Ivoire,2005,55,2.32,100,67,24.99,49.3,48.32,53.16,41.59,0,11.02,20.5,57.94,100,100,100,94.6,60,52.89,0.6,25.42,71.7,24.99,13.87,80,81.23,49.3,31.96,0,0.6,36.85,39.98,38.73
191,HRV,Croatia,2005,100,76.84,25.98,NA,95.1,63.26,72.63,42.91,63.39,63.12,30.8,88,77.35,55.02,45.03,66.95,40.29,88,23.9,13.23,78.07,65.08,95.1,77.46,56.99,59.13,63.26,27.35,63.12,13.23,79.21,45.8,59.17
192,CUB,Cuba,2005,98.5,44.7,NA,50,90.61,16.93,0,14.87,23.47,100,5.34,92.5,78.59,36.57,51.31,100,100,76,48.46,9.19,47.59,97.5,90.61,46.14,76,54.12,16.93,26.9,100,9.19,78.08,36.55,53.16
196,CYP,Cyprus,2005,100,100,19.25,NA,97.13,61.92,64.92,46.81,57.34,35.07,13.42,95,31.08,100,100,91.81,66.19,88,63.32,9.44,100,84.33,97.13,100,53.63,77.03,61.92,38.37,35.07,9.44,93.82,47.12,65.8
203,CZE,Czech Republic,2005,100,99.9,16.59,NA,98.35,65.82,77.62,30.98,54.43,45.05,NA,97,NA,98.31,98.37,61.03,32.01,96,NA,75.68,95.97,63.35,98.35,97.93,56.3,98.31,65.82,-911,45.05,75.68,86.55,74.75,79.47
180,COD,Dem. Rep. Congo,2005,11,3.43,100,0,8.73,NA,NA,NA,NA,26.24,NA,4.5,NA,58.64,58.54,91,71.94,16,NA,0,3.44,55.81,8.73,3.44,58,43.94,-911,-911,26.24,0,22.66,25.4,24.3
208,DNK,Denmark,2005,100,100,20.12,NA,98.9,67.22,68.22,45.65,65.31,18.52,11.11,95,51.14,70.95,70.95,94.99,76.98,92,9.83,93.45,100,88.99,98.9,100,56.06,64.35,67.22,10.47,18.52,93.45,95.96,61.96,75.56
262,DJI,Djibouti,2005,48,17.69,NA,0,26.73,NA,NA,NA,NA,NA,0,87,61.78,0.01,0.01,100,98.92,12,0,0,36.66,95.31,26.73,27.18,12,15.45,-911,0,-911,0,49.74,6.86,24.01
212,DMA,Dominica,2005,89.5,33.04,100,100,70.22,27.95,44.51,25.36,NA,NA,0,89.5,0,80.06,85.12,100,100,12,0,2.99,54.92,96.5,70.22,43.98,56,66.29,27.95,0,-911,2.99,70.23,30.12,46.17
214,DOM,Dominican Republic,2005,95,31.67,15.2,100,75.96,44.06,90,39.28,45.65,5.79,15.53,86.5,98.96,75.78,97.03,100,100,88,53.24,5.9,32.48,95.5,75.96,32.08,51.6,92.94,44.06,34.38,5.79,5.9,67.85,42.32,52.53
218,ECU,Ecuador,2005,95,40.62,100,84,69.07,54.66,48.8,51.28,61.75,28.15,29.71,92.5,100,91.77,76.33,100,98.2,92,59.51,6.4,37.35,96.9,69.07,38.99,96,88.03,54.66,44.61,28.15,6.4,68.32,49.35,56.94
818,EGY,Egypt,2005,99,52.41,100,NA,59.74,61.05,25.37,74.42,35.25,NA,22.45,99.5,90.16,34.72,27.01,67.02,38.85,88,35.94,49.5,71.53,68.46,59.74,61.97,94,50.63,61.05,29.2,-911,49.5,63.39,53.24,57.3
222,SLV,El Salvador,2005,90,20.05,100,NA,65.61,58.24,50.76,44.52,85.44,9.9,24.42,71.5,0,0.46,0.17,100,98.56,60,42.78,0.62,36.03,90.02,65.61,28.04,80,0.21,58.24,33.6,9.9,0.62,61.22,23.12,38.36
226,GNQ,Equatorial Guinea,2005,27.5,44.17,NA,100,12.11,NA,NA,NA,NA,37.94,17.91,22,65.29,100,100,100,100,0,81.74,1.25,6.18,74,12.11,25.17,0,91.32,-911,49.83,37.94,1.25,37.1,42.56,40.37
